"id","date","title","word_count","summary","controlled_tags","source_tags","has_images","wordpress_url","file_path"
"2013-07-27-10lbs-more-of-lee-8211-back-to-tracking","2013-07-27","10lbs More of Lee – Back to Tracking","336","I finished off my one year of tracking...whether it was via Weight Watchers, or MyFitnessPal last April 13th. Tracking what I eat had been the biggest success factor in my having lost 80lbs...going from 309 to 228. The...","exercise; food-addiction; health-identity; humor-voice; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2013/07/27/10lbs-more-of-lee-back-to-tracking/","../src/content/blog/2013-07-27-10lbs-more-of-lee-8211-back-to-tracking.md"
"2013-08-03-what8217s-new-round-2","2013-08-03","What’s New Round 2","663",""" data-medium-file=""https://lessoflee.wordpress.com/wp-content/uploads/2013/08/988694 10200833445451751 1704047050 n.jpg?w=300"" data-large-file=""https://lessoflee.wordpress.com/wp-content/uploads/2013/08/988694 10200833445451751 1704047050 n.jpg?w=500"" src="" /assets/posts/2013-08-03-what8217s-new-round-2/988694 10200833445451751 1704047050 n.jpg"" alt=""No bun or fries needed :)"" width=""300"" height=""300"" srcset=""https://lessoflee.wordpress.com/wp-content/uploads/2013/08/988694 10200833445451751 1704047050 n.jpg?w=300 300w, https://lessoflee.wordpress.com/wp-content/uploads/2013/08/988694 10200833445451751 1704047050 n.jpg?w=600 600w, https://lessoflee.wordpress.com/wp-content/uploads/2013/08/988694 10200833445451751 1704047050 n.jpg?w=150 150w"" sizes=""(max-width:...","capability-recovery; exercise; fasting; feasting; food-addiction; original-less-of-lee-journey","MyFitnessPal; No Sugar No Grains; NSNG; weight watchers; weight-loss","true","https://lessoflee.wordpress.com/2013/08/03/whats-new-round-2/","../src/content/blog/2013-08-03-what8217s-new-round-2.md"
"2021-05-03-i8217m-back-8-years-later-8211-now-diabetic","2021-05-04","I’m Back 8 Years Later – Now Diabetic","328","Ok folks, here I am. It's been 8 years since I lost that incredible 80lbs and got fit. I'd love to report that I kept it all off, but I haven't. So, as in 9 years before when...","a1c-labs; failure-restart; reversing-type-2-diabetes-journey; type-2-diabetes","","true","https://lessoflee.wordpress.com/2021/05/03/im-back-8-years-later-now-diabetic/","../src/content/blog/2021-05-03-i8217m-back-8-years-later-8211-now-diabetic.md"
"2021-05-04-i-can8217t-drive-55-fast-and-faster","2021-05-04","I Can’t Drive 55!  Fast and Faster","543","I will be exploring the benefits to my own body of fasting. Why fasting? I have a sugar disorder...or an insulin disorder. Whichever is the chicken and which is the egg, I'll not address in this post. What...","a1c-labs; fasting; feasting; mindset; reversing-type-2-diabetes-journey; type-2-diabetes","","true","https://lessoflee.wordpress.com/2021/05/04/i-cant-drive-55-fast-and-faster/","../src/content/blog/2021-05-04-i-can8217t-drive-55-fast-and-faster.md"
"2021-05-13-bonic-man-8211-continuous-glucose-monitor","2021-05-14","Bonic Man – Continuous Glucose Monitor","380","I have become a bionic man. To track my sugar, I have installed the Freestyle Libre Continuous Glucose Monitoring system in my arm. Now I can use an app on my phone to check my sugar any time...","a1c-labs; failure-restart; fasting; feasting; reversing-type-2-diabetes-journey; type-2-diabetes","","true","https://lessoflee.wordpress.com/2021/05/13/bonic-man-continuous-glucose-monitor/","../src/content/blog/2021-05-13-bonic-man-8211-continuous-glucose-monitor.md"
"2021-05-21-month-one-results-8211-reversing-t2-diabetes","2021-05-21","Month One Results – Reversing T2 Diabetes","340","It's been a month since I had my first meeting with my diabetes specialist who informed me of my 11.6 A1c blood glucose. That's scary high. In addition to taking the meds prescribed (one new med added), I...","a1c-labs; capability-recovery; fasting; feasting; reversing-type-2-diabetes-journey; type-2-diabetes","","true","https://lessoflee.wordpress.com/2021/05/21/month-one-results-reversing-t2-diabetes/","../src/content/blog/2021-05-21-month-one-results-8211-reversing-t2-diabetes.md"
"2021-05-26-a-day-in-the-new-life-8211-fasting-keto","2021-05-26","A Day in the New Life – Fasting + Keto","228","Low carb dinner last night (steak and veggies). Blood Sugar (bs) peaked at 162 and I went to bed with bs of 122.","fasting; feasting; reversing-type-2-diabetes-journey; type-2-diabetes","","true","https://lessoflee.wordpress.com/2021/05/26/a-day-in-the-new-life-fasting-keto/","../src/content/blog/2021-05-26-a-day-in-the-new-life-8211-fasting-keto.md"
"2021-06-21-2-month-progress-report","2021-06-21","2-Month Progress Report","272","It’s time for the 2-month update as it was 2 months ago yesterday that my diabetes Dr told me my A1c was 11.2. For those that don’t know, that’s in the “scary high, you’re going to go blind”...","a1c-labs; capability-recovery; exercise; reversing-type-2-diabetes-journey; type-2-diabetes","","true","https://lessoflee.wordpress.com/2021/06/21/2-month-progress-report/","../src/content/blog/2021-06-21-2-month-progress-report.md"
"2021-07-31-off-all-diabetes-meds-8211-3-month-update","2021-07-31","Off All Diabetes Meds – 3 Month Update","463","The headline says it all. I met with my diabetes specialist for the 3 month follow up – and I was able to get off the one remaining medication, metformin. My A1c has gone from 11.2 in April...","a1c-labs; capability-recovery; exercise; fasting; feasting; health-identity; reversing-type-2-diabetes-journey; type-2-diabetes","Diabetes; Fasting; Intermittent Fasting; Jason Fung; Keto; Low Carb; Sten Ekberg; The Diabetes Code","true","https://lessoflee.wordpress.com/2021/07/31/off-all-diabetes-meds-3-month-update/","../src/content/blog/2021-07-31-off-all-diabetes-meds-8211-3-month-update.md"
"2021-08-04-25lbs-less-of-lee","2021-08-04","25lbs Less of Lee","137","Scale victory – 25lbs down! I must say, it's taking a lot longer than when I did this before (in my mid 40's, now mid 50's). I'm averaging just a bit more than 1.5lbs a week. I didn't...","humor-voice; nsv; reversing-type-2-diabetes-journey","","true","https://lessoflee.wordpress.com/2021/08/04/25lbs-less-of-lee/","../src/content/blog/2021-08-04-25lbs-less-of-lee.md"
